CSV.OSAT,,0 04 02,(OUTSIDE AIR TEMP),19.62,DEG F, -N-       NONE
 ****************************************************************************************************,,,,,,
AS162.MDP.DEM.CONS.ENG.OD,, -Virtual-,(ELEC USAGE      ),2875323.75,KWH, -N-       NONE
 ****************************************************************************************************,,,,,,
AS162.MDP.DEM.KW.ENG.OD,, -Virtual-,(DEMAND CALC     ),185.82,KW, -N-       NONE
 ****************************************************************************************************,,,,,,
AS162.H2OM1.ENG.OD,:,No match found.,,,,
AS162.H2OM2.ENG.OD,, -Virtual-,(WATER USAGE     ),0,GALS, -N-       NONE
 ****************************************************************************************************,,,,,,
AS162.NGM1.ENG.OD,, -Virtual-,(GAS THIS MONTH  ),441477,CCF, -N-       NONE
 ****************************************************************************************************,,,,,,
 ****************************************** End of Report *******************************************,,,,,,
